source,source_siren,id,date_seance,date_publication,url,seance_type
CTM,200055507,,2022-09-28,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-785-transport-exceptionnel-par-la-societe-DMSL-ville-du-Lamentin-pour-COMABAT.pdf,
CTM,200055507,,2022-09-28,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-784-reglementation-de-la-circulation-La-Vierge-ville-de-du-Gros-Morne.pdf,
CTM,200055507,,2022-09-28,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-783-renouvellement-des-travaux-La-Vierge-ville-du-Gros-Morne-pour-la-SME.pdf,
CTM,200055507,,2022-09-28,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-781-reglementation-de-la-circulation-sur-les-RN1234568-et-2006-et-sur-les-RD-1018A41.pdf,
CTM,200055507,,2022-09-28,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-780-reglementation-de-la-circulation-au-niveau-du-pont-coulee-d’or-sur-le-territoire-de-la-ville-du-Vauclin.pdf,
CTM,200055507,,2022-09-28,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-779-reglementation-de-la-circulation-villes-du-Marigot-du-Lorrain-de-Basse-Pointe-et-Macouba.pdf,
CTM,200055507,,2022-09-28,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-778-prorogation-des-travaux-villes-Marigot-Lorrain-Basse-Pointe-et-Macouba-pour-EDF.pdf,
CTM,200055507,,2022-09-28,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-776-reglementation-de-la-circulation-Lareinty-ville-du-Lamentin.pdf,
CTM,200055507,,2022-09-28,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-775-travaux-Lareinty-ville-du-Lamentin-pour-ORANGE.pdf,
CTM,200055507,,2022-09-28,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-774-reglementation-de-la-circulation-Madiana-ville-de-Schoelcher.pdf,
CTM,200055507,,2022-09-28,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-773-travaux-Madiana-ville-de-Schoelcher-pour-INEO-INFRACOM-EQUANS.pdf,
CTM,200055507,,2022-09-21,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-772-mission-de-M.-Alexandre-VENTADOUR-a-Paris-et-a-Vichy.PDF,
CTM,200055507,,2022-09-13,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-771-mission-de-M.-Serge-LETHIMY-a-Paris.PDF,
CTM,200055507,,2022-09-15,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-770-cession-de-l’autorisation-et-transfert-de-gestion-du-SAAD-gere-par-l’ADARPA-au-profit-de-l’Association-AVEC-L’ADARPA.PDF,
CTM,200055507,,2022-09-21,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-768-reglementation-de-la-circulation-Laugier-ville-de-Riviere-Salee.pdf,
CTM,200055507,,2022-09-21,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-767-reglementation-de-la-circulation-villes-de-Ducos-le-Lamentin-les-Trois-Ilets-Riviere-Salee-Saint-Esprit-Sainte-Luce.pdf,
CTM,200055507,,2022-09-21,2023-01-26,https://www.collectivitedemartinique.mq/docs/actes2023/executif/22-PCE-766-reglementation-de-la-circulation-coulee-d’or-ville-de-Fond-Saint-Denis.pdf,
